"url","Beer","Beer_link","Brewery","Brewery_link","Type","Type_link","ABV","Score","Reviews","Ratings"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest White Ale","https://www.beeradvocate.com/beer/profile/697/2013/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Witbier","https://www.beeradvocate.com/beer/style/48/","/ 5.50% ABV","4.05","544",""
"https://www.beeradvocate.com/lists/jp/","Minoh Stout","https://www.beeradvocate.com/beer/profile/3534/15675/","A.J.I. Beer Inc","https://www.beeradvocate.com/beer/profile/3534/","English Stout","https://www.beeradvocate.com/beer/style/13/","/ 5.50% ABV","3.67","10","| 24"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Dai Dai Ale","https://www.beeradvocate.com/beer/profile/697/96243/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","American IPA","https://www.beeradvocate.com/beer/style/116/","/ 6.20% ABV","3.67","33","| 140"
"https://www.beeradvocate.com/lists/jp/","Minoh W-IPA","https://www.beeradvocate.com/beer/profile/3534/42557/","A.J.I. Beer Inc","https://www.beeradvocate.com/beer/profile/3534/","American Double / Imperial IPA","https://www.beeradvocate.com/beer/style/140/","/ 9.00% ABV","3.66","22","| 34"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Amber Ale","https://www.beeradvocate.com/beer/profile/697/7729/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","American Amber / Red Ale","https://www.beeradvocate.com/beer/style/128/","/ 5.00% ABV","3.66","15","| 39"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Real Ginger Brew","https://www.beeradvocate.com/beer/profile/697/24751/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Herbed / Spiced Beer","https://www.beeradvocate.com/beer/style/8/","/ 8.00% ABV","3.65","225","| 471"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Ancient Nipponia","https://www.beeradvocate.com/beer/profile/697/83631/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","American Double / Imperial Pilsner","https://www.beeradvocate.com/beer/style/164/","/ 8.00% ABV","3.65","10","| 46"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Pale Ale","https://www.beeradvocate.com/beer/profile/697/7701/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","English Pale Ale","https://www.beeradvocate.com/beer/style/154/","/ 5.00% ABV","3.64","19","| 58"
"https://www.beeradvocate.com/lists/jp/","Ginga Kogen Weizen","https://www.beeradvocate.com/beer/profile/3444/7813/","Ginga Kogen Beer","https://www.beeradvocate.com/beer/profile/3444/","Hefeweizen","https://www.beeradvocate.com/beer/style/89/","/ 5.00% ABV","3.64","32","| 73"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Red Rice Ale","https://www.beeradvocate.com/beer/profile/697/4770/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Belgian Strong Pale Ale","https://www.beeradvocate.com/beer/style/55/","/ 7.00% ABV","3.63","330","| 699"
"https://www.beeradvocate.com/lists/jp/","Single Take Session Ale","https://www.beeradvocate.com/beer/profile/3599/70874/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Belgian Pale Ale","https://www.beeradvocate.com/beer/style/54/","/ 4.50% ABV","3.63","11","| 22"
"https://www.beeradvocate.com/lists/jp/","Shimaguni Stout","https://www.beeradvocate.com/beer/profile/3599/17681/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Irish Dry Stout","https://www.beeradvocate.com/beer/style/162/","/ 4.60% ABV","3.62","19","| 32"
"https://www.beeradvocate.com/lists/jp/","Jubilation Ale","https://www.beeradvocate.com/beer/profile/3599/46978/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Winter Warmer","https://www.beeradvocate.com/beer/style/47/","/ 7.00% ABV","3.62","38","| 75"
"https://www.beeradvocate.com/lists/jp/","Suiyoubi No Neko","https://www.beeradvocate.com/beer/profile/3553/89584/","Yo-Ho Brewing Company","https://www.beeradvocate.com/beer/profile/3553/","Witbier","https://www.beeradvocate.com/beer/style/48/","/ 4.50% ABV","3.61","17","| 83"
"https://www.beeradvocate.com/lists/jp/","Shiga Kogen IPA","https://www.beeradvocate.com/beer/profile/13276/28819/","Tamamura Honten","https://www.beeradvocate.com/beer/profile/13276/","American IPA","https://www.beeradvocate.com/beer/style/116/","/ 6.00% ABV","3.56","11","| 35"
"https://www.beeradvocate.com/lists/jp/","Temple Garden Yuzu Ale","https://www.beeradvocate.com/beer/profile/3599/43882/","Baird Brewing Company / Fishmarket Taproom","https://www.beeradvocate.com/beer/profile/3599/","Fruit / Vegetable Beer","https://www.beeradvocate.com/beer/style/9/","/ 6.50% ABV","3.56","12","| 20"
"https://www.beeradvocate.com/lists/jp/","Asahi Black (Kuronama)","https://www.beeradvocate.com/beer/profile/716/3969/","Asahi Breweries Ltd","https://www.beeradvocate.com/beer/profile/716/","Munich Dunkel Lager","https://www.beeradvocate.com/beer/style/46/","/ 5.00% ABV","3.53","130","| 305"
"https://www.beeradvocate.com/lists/jp/","Coedo Kyara","https://www.beeradvocate.com/beer/profile/3551/46591/","Coedo Brewery (Kyodo Shoji Koedo Brewery)","https://www.beeradvocate.com/beer/profile/3551/","American Pale Lager","https://www.beeradvocate.com/beer/style/155/","/ 5.50% ABV","3.5","22","| 60"
"https://www.beeradvocate.com/lists/jp/","Coedo Shiro","https://www.beeradvocate.com/beer/profile/3551/55160/","Coedo Brewery (Kyodo Shoji Koedo Brewery)","https://www.beeradvocate.com/beer/profile/3551/","Hefeweizen","https://www.beeradvocate.com/beer/style/89/","/ 5.50% ABV","3.5","17","| 47"
"https://www.beeradvocate.com/lists/jp/","Yebisu Black Beer","https://www.beeradvocate.com/beer/profile/284/11490/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Euro Dark Lager","https://www.beeradvocate.com/beer/style/149/","/ 5.00% ABV","3.5","30","| 63"
"https://www.beeradvocate.com/lists/jp/","Coedo Shikkoku","https://www.beeradvocate.com/beer/profile/3551/43749/","Coedo Brewery (Kyodo Shoji Koedo Brewery)","https://www.beeradvocate.com/beer/profile/3551/","Schwarzbier","https://www.beeradvocate.com/beer/style/31/","/ 5.00% ABV","3.48","23","| 50"
"https://www.beeradvocate.com/lists/jp/","Kirin Ichiban Shibori Stout","https://www.beeradvocate.com/beer/profile/292/39541/","Kirin Brewery Company, Limited","https://www.beeradvocate.com/beer/profile/292/","American Stout","https://www.beeradvocate.com/beer/style/158/","/ 5.00% ABV","3.46","19","| 37"
"https://www.beeradvocate.com/lists/jp/","Aooni India Pale Ale","https://www.beeradvocate.com/beer/profile/3553/47892/","Yo-Ho Brewing Company","https://www.beeradvocate.com/beer/profile/3553/","American IPA","https://www.beeradvocate.com/beer/style/116/","/ 7.00% ABV","3.43","55","| 151"
"https://www.beeradvocate.com/lists/jp/","Yebisu (Premium)","https://www.beeradvocate.com/beer/profile/284/800/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Dortmunder / Export Lager","https://www.beeradvocate.com/beer/style/20/","/ 5.00% ABV","3.41","90","| 166"
"https://www.beeradvocate.com/lists/jp/","Coedo Beniaka","https://www.beeradvocate.com/beer/profile/3551/58111/","Coedo Brewery (Kyodo Shoji Koedo Brewery)","https://www.beeradvocate.com/beer/profile/3551/","Happoshu","https://www.beeradvocate.com/beer/style/168/","/ 7.00% ABV","3.39","46","| 118"
"https://www.beeradvocate.com/lists/jp/","Sapporo Classic","https://www.beeradvocate.com/beer/profile/284/15722/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","German Pilsener","https://www.beeradvocate.com/beer/style/41/","/ 5.00% ABV","3.37","11","| 70"
"https://www.beeradvocate.com/lists/jp/","Coedo Ruri","https://www.beeradvocate.com/beer/profile/3551/49787/","Coedo Brewery (Kyodo Shoji Koedo Brewery)","https://www.beeradvocate.com/beer/profile/3551/","German Pilsener","https://www.beeradvocate.com/beer/style/41/","/ 5.00% ABV","3.36","22","| 46"
"https://www.beeradvocate.com/lists/jp/","Suntory The Premium Malt's","https://www.beeradvocate.com/beer/profile/865/8128/","Suntory","https://www.beeradvocate.com/beer/profile/865/","German Pilsener","https://www.beeradvocate.com/beer/style/41/","/ 5.50% ABV","3.35","30","| 93"
"https://www.beeradvocate.com/lists/jp/","Koshihikari Echigo Beer","https://www.beeradvocate.com/beer/profile/5046/17036/","Uehara Shuzou Co. Ltd. / Echigo Beer Pub","https://www.beeradvocate.com/beer/profile/5046/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 5.00% ABV","3.3","95","| 193"
"https://www.beeradvocate.com/lists/jp/","Premium Red Ale","https://www.beeradvocate.com/beer/profile/5046/55026/","Uehara Shuzou Co. Ltd. / Echigo Beer Pub","https://www.beeradvocate.com/beer/profile/5046/","American Amber / Red Ale","https://www.beeradvocate.com/beer/style/128/","/ 6.00% ABV","3.29","19","| 61"
"https://www.beeradvocate.com/lists/jp/","Yebisu Kohaku","https://www.beeradvocate.com/beer/profile/284/45327/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","American Amber / Red Ale","https://www.beeradvocate.com/beer/style/128/","/ 5.50% ABV","3.28","13","| 33"
"https://www.beeradvocate.com/lists/jp/","Sapporo Reserve","https://www.beeradvocate.com/beer/profile/284/774/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Euro Pale Lager","https://www.beeradvocate.com/beer/style/37/","/ 5.20% ABV","3.28","178","| 361"
"https://www.beeradvocate.com/lists/jp/","Echigo Pilsner","https://www.beeradvocate.com/beer/profile/5046/10653/","Uehara Shuzou Co. Ltd. / Echigo Beer Pub","https://www.beeradvocate.com/beer/profile/5046/","German Pilsener","https://www.beeradvocate.com/beer/style/41/","","3.23","10","| 22"
"https://www.beeradvocate.com/lists/jp/","Asahi Dry Black","https://www.beeradvocate.com/beer/profile/716/89545/","Asahi Breweries Ltd","https://www.beeradvocate.com/beer/profile/716/","Euro Dark Lager","https://www.beeradvocate.com/beer/style/149/","/ 5.50% ABV","3.22","11","| 45"
"https://www.beeradvocate.com/lists/jp/","Sapporo Premium Lager (EU Brew)","https://www.beeradvocate.com/beer/profile/284/38910/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Euro Pale Lager","https://www.beeradvocate.com/beer/style/37/","/ 4.70% ABV","3.17","13","| 70"
"https://www.beeradvocate.com/lists/jp/","Asahi Select","https://www.beeradvocate.com/beer/profile/716/24204/","Asahi Breweries Ltd","https://www.beeradvocate.com/beer/profile/716/","Euro Pale Lager","https://www.beeradvocate.com/beer/style/37/","/ 4.70% ABV","3.17","32","| 70"
"https://www.beeradvocate.com/lists/jp/","Hitachino Nest Sweet Stout (Lacto)","https://www.beeradvocate.com/beer/profile/697/4769/","Kiuchi Brewery","https://www.beeradvocate.com/beer/profile/697/","Milk / Sweet Stout","https://www.beeradvocate.com/beer/style/82/","/ 3.90% ABV","3.07","220","| 373"
"https://www.beeradvocate.com/lists/jp/","Ise Kadoya Stout","https://www.beeradvocate.com/beer/profile/5055/53346/","Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery","https://www.beeradvocate.com/beer/profile/5055/","English Stout","https://www.beeradvocate.com/beer/style/13/","/ 5.00% ABV","3.06","19","| 28"
"https://www.beeradvocate.com/lists/jp/","Orion Premium Draft Beer","https://www.beeradvocate.com/beer/profile/2550/7511/","Orion Beer Co., Ltd.","https://www.beeradvocate.com/beer/profile/2550/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 4.70% ABV","3","107","| 269"
"https://www.beeradvocate.com/lists/jp/","Asahi Draft (Jukusen)","https://www.beeradvocate.com/beer/profile/716/2126/","Asahi Breweries Ltd","https://www.beeradvocate.com/beer/profile/716/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 5.00% ABV","2.99","38","| 86"
"https://www.beeradvocate.com/lists/jp/","Sapporo Original Draft Beer","https://www.beeradvocate.com/beer/profile/284/827/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 5.00% ABV","2.98","105","| 485"
"https://www.beeradvocate.com/lists/jp/","Sapporo Draft Beer","https://www.beeradvocate.com/beer/profile/284/814/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 5.00% ABV","2.92","118","| 231"
"https://www.beeradvocate.com/lists/jp/","Kirin Tanrei","https://www.beeradvocate.com/beer/profile/292/17982/","Kirin Brewery Company, Limited","https://www.beeradvocate.com/beer/profile/292/","Happoshu","https://www.beeradvocate.com/beer/style/168/","/ 5.50% ABV","2.91","35","| 75"
"https://www.beeradvocate.com/lists/jp/","Sapporo Premium Beer","https://www.beeradvocate.com/beer/profile/284/10071/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","American Pale Lager","https://www.beeradvocate.com/beer/style/155/","/ 4.90% ABV","2.9","630","| 2,092"
"https://www.beeradvocate.com/lists/jp/","Asahi Super Dry","https://www.beeradvocate.com/beer/profile/716/2779/","Asahi Breweries Ltd","https://www.beeradvocate.com/beer/profile/716/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 5.00% ABV","2.72","514","| 1,478"
"https://www.beeradvocate.com/lists/jp/","Sapporo Light Beer","https://www.beeradvocate.com/beer/profile/284/25010/","Sapporo Breweries Ltd.","https://www.beeradvocate.com/beer/profile/284/","Light Lager","https://www.beeradvocate.com/beer/style/39/","/ 3.90% ABV","2.71","30","| 77"
"https://www.beeradvocate.com/lists/jp/","Asahi Honnama Aqua Blue","https://www.beeradvocate.com/beer/profile/716/11968/","Asahi Breweries Ltd","https://www.beeradvocate.com/beer/profile/716/","Happoshu","https://www.beeradvocate.com/beer/style/168/","/ 5.00% ABV","2.68","11","| 17"
"https://www.beeradvocate.com/lists/jp/","Kirin Ichiban","https://www.beeradvocate.com/beer/profile/292/1249/","Kirin Brewery Company, Limited","https://www.beeradvocate.com/beer/profile/292/","American Pale Lager","https://www.beeradvocate.com/beer/style/155/","/ 5.00% ABV","2.65","590","| 1,781"
"https://www.beeradvocate.com/lists/jp/","Kirin Lager","https://www.beeradvocate.com/beer/profile/292/807/","Kirin Brewery Company, Limited","https://www.beeradvocate.com/beer/profile/292/","Japanese Rice Lager","https://www.beeradvocate.com/beer/style/169/","/ 4.90% ABV","2.47","68","| 270"
"https://www.beeradvocate.com/lists/jp/","Kirin Light Beer","https://www.beeradvocate.com/beer/profile/292/5287/","Kirin Brewery Company, Limited","https://www.beeradvocate.com/beer/profile/292/","Light Lager","https://www.beeradvocate.com/beer/style/39/","","2.39","63","| 188"
